link,name,address,tel,email,rating,review_count,cuisine,price_range,about,website_url,special_diets,meals,features,images,timestamp
https://www.tripadvisor.co.uk/Restaurant_Review-g494963-d17431873-Reviews-Biffen_s_Kitchen-Croyde_Braunton_Devon_England.html,Biffen's Kitchen,"Ocean Pitch Campsite, Croyde, Braunton EX33 1FF England",+44 7788 532287,eat@biffenskitchen.com,5.0,399,"Healthy, Street Food, Japanese Fusion","₫106,929 - ₫320,787","Enjoy the taste of Croyde Surf-Inspired Street Food this summer at Biffen’s Kitchen. Come and find me (Biff) and my wonderful team at the Ocean Pitch Campsite. From Caribbean curry to Japanese Katsu, you cannot visit Croyde without devouring one of these dishes! EVERYONE IS WELCOME! You don’t need to camp at Ocean Pitch to enjoy my breakfast (8:30-10:30), Lunch (11:30-13:30) & evening street food (17:30-19:30). No-onsite parking is allowed as we are a small and busy campsite but parking is located close by. Your support is greatly appreciated and I look forward to seeing you soon, Biff",http://www.biffenskitchen.com/croyde-street-food/,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Dinner, Drinks","Takeout, Outdoor Seating, Accepts Credit Cards, Digital Payments, Gift Cards Available",[],00:51:45-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g186254-d14770277-Reviews-The_Heavy_Tree-Exeter_Devon_England.html,The Heavy Tree,"77 Fore Street, Exeter EX1 2RN England",+44 1392 660857,jonstreet@blueyonder.co.uk,4.0,34,"Cafe, British",,,https://www.facebook.com/The-Heavy-Tree-106208523577182/,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks","Seating, Serves Alcohol, Takeout, Outdoor Seating, Buffet, Highchairs Available, Wheelchair Accessible, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",[],00:51:49-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g186258-d17397705-Reviews-Kawaffle-Plymouth_Devon_England.html,Kawaffle,"Cornwall Street Stall 131 Plymouth Market, Plymouth PL1 1PS England",+44 7795 515548,kawaffle.plymouth@gmail.com,5.0,102,"British, Cafe, Fast food, International, Street Food","₫53,465 - ₫160,394","Take a seat and enjoy watching your sweet or savoury bubble waffle created right in front of you. Everything is made fresh on site daily. With delicious sweet toppings including locally made ice cream and branded chocolate bars and sweets! Our savoury toppings include Chilli Cheese, Chorizo, Avocado, Hummus, Mozzerella along with so many more. Offering amazing Vegan Gluten Free bubble waffles. All to takeaway or you're welcome to take a seat. Tea, Coffee, wonderful Milkshakes & Thick Hot Chocolate.",http://www.kawaffle.co.uk/,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Brunch, Lunch, Dinner, Drinks","Gift Cards Available, Takeout, Seating, Outdoor Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Digital Payments, Accepts Credit Cards, Table Service, Live Music, Dog Friendly, Family style, Non-smoking restaurants",[],00:51:53-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g186258-d23410811-Reviews-The_Catch-Plymouth_Devon_England.html,The Catch,"47 Southside Street Barbican, Plymouth PL1 2LD England",+44 1752 226307,info@thecatchplymouth.co.uk,5.0,148,"Seafood, British, Healthy","₫400,984 - ₫801,969",,https://www.thecatchplymouth.co.uk/,,,,[],00:51:56-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g551703-d6585723-Reviews-The_Beach_House_Restaurant-Woolacombe_Devon_England.html,The Beach House Restaurant,"3 West Road Granville Terrace, Woolacombe EX34 7BW England",+44 1271 871692,epicuriousdevon@gmail.com,4.5,599,"Seafood, Healthy","₫160,394 - ₫534,646",,http://www.beachhousewoolacombe.co.uk/,,,,[],00:51:59-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g1426109-d4134257-Reviews-The_Baytree_Cafe-Ottery_St_Mary_Devon_England.html,The Baytree Cafe,"11 Mill Street, Ottery St. Mary EX11 1AB England",+44 1404 811388,,4.5,29,"Cafe, British",,,,Vegetarian Friendly,"Lunch, Breakfast, Brunch","Takeout, Seating, Wheelchair Accessible, Highchairs Available, Table Service",[],00:52:00-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g1141476-d19334432-Reviews-Robot-Axminster_Devon_England.html,Robot,"14 Lyme Street, Axminster EX13 5AU England",+44 1297 792782,Info@robotpizza.co.uk,5.0,16,"Pizza, Italian","₫133,661 - ₫374,252","Authentic Naples style sourdough pizza cooked in a wood oven with fantastic quality toppings. Cocktails, craft ales and ciders. Kids and dogs welcome. Eat in & take away.",http://www.robotpizza.co.uk/,,"Dinner, Drinks","Takeout, Table Service, Seating, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts Credit Cards, Dog Friendly, Family style",[],00:52:04-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g551630-d19964492-Reviews-DillyDally_Tearoom-Brixham_English_Riviera_Devon_England.html,DillyDally Tearoom,"1 King Street, Brixham TQ5 9TF England",+44 1803 431151,dillydallytearoom@gmail.com,5.0,222,"Cafe, British, Healthy","₫53,465 - ₫267,323","We are a small award winning tearoom situated in the heart of Brixham's picturesque harbour area. We offer freshly made local sourced ingredients where possible which includes Gluten And Diary Free options. We offer freshly cooked breakfasts, a selection of light lunches, Devon Cream Teas (including Prosecco and Gin Teas) Afternoon Teas (booking required) and also a range of Homemade Cakes. We are dog friendly, and have an outdoor seating area weather permitting.",https://www.facebook.com/dillydallytearoom/,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks","Takeout, Reservations, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Digital Payments, Dog Friendly, Family style, Non-smoking restaurants, Gift Cards Available",[],00:52:04-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g186258-d24982986-Reviews-Maurish-Plymouth_Devon_England.html,Maurish,"Plymouth Market The Market Cornwall Street, Plymouth PL1 1PS England",+44 7795 246231,jodie.pierre@outlook.com,5.0,10,"Chinese, African, Cajun & Creole, Asian",,Mauritian cuisine in Plymouth Market with different specials every week! Bring the whole family and your friends or come on your own and enjoy the vibes with Great food from the island of Mauritius,,,Lunch,,[],00:52:07-2022/10/05
https://www.tripadvisor.co.uk/Restaurant_Review-g186258-d18903836-Reviews-Tantuni-Plymouth_Devon_England.html,Tantuni,"Stalls 55,63,71 Plymouth Market, Cornwall Street, Plymouth PL1 1PS England",+44 7748 297843,hello@tantuniplymouth.co.uk,5.0,125,"Cafe, Turkish, Healthy, Grill, Street Food","₫106,929 - ₫1,603,937","Tantuni is a vibrant food stall located within the buzzing Plymouth Market. We serve delicious Turkish Street food dishes including tantuni wraps, Shish kebabs, breakfast dishes, yummy desserts and much more. We also serve traditional Turkish coffee and tea.",http://tantuniplymouth.wixsite.com/tantuniplymouth,"Vegetarian Friendly, Vegan Options, Halal","Breakfast, Lunch, Dinner, Brunch, Drinks","Delivery, Takeout, Reservations, Seating, Accepts Credit Cards, Table Service, Gift Cards Available",[],00:52:09-2022/10/05
